original_order,learning_order,greek,headword,translation,greeklex_rank,lemma_freq,word_freq,zipf_freq,pos,matched_word,match_type,duplicate_of
350,737,άνοστος,άνοστος,"безвкусный, пресный",17759,0.7,0.0,1.327,adj,άνοστος,exact,
88,738,το μανάβικο,μανάβικο,овощной магазин,17912,0.7,0.4,2.628,noun,μανάβικο,exact,
57,739,το κουκούτσι,κουκούτσι,косточка,19042,0.6,0.3,2.504,noun,κουκούτσι,exact,
751,740,σιδερώνω,σιδερώνω,гладить (утюгом),19941,0.5,0.1,2.106,verb,σιδερώνω,exact,
21,741,το καθαριστήριο,καθαριστήριο,химчистка,21899,0.4,0.2,2.327,noun,καθαριστήριο,exact,
18,742,το ισόγειο,ισόγειο,первый этаж,,,,,,,,
46,743,το κλιματιστικό,κλιματιστικό,кондиционер,,,,,,,,
59,744,το κουτάκι,κουτάκι,"коробочка, баночка",,,,,,,,
81,745,η μαγειρική,μαγειρική,кулинария,,,,,,,,
85,746,τα μακαρόνια,μακαρόνια,макароны,,,,,,,,
86,747,τα μαλλιά,μαλλιά,волосы,,,,,,,,
95,748,το μεσημεριανό,μεσημεριανό,обед,,,,,,,,
116,749,το μυστικό,μυστικό,"секрет, тайна",,,,,,,,
131,750,η ξαδέλφη,ξαδέλφη,двоюродная сестра,,,,,,,,
132,751,ο ξάδελφος,ξάδελφος,двоюродный брат,,,,,,,,
153,752,τα παπούτσια,παπούτσια,"обувь, туфли",,,,,,,,
213,753,τα ρούχα,ρούχα,одежда,,,,,,,,
225,754,η σημειώσεις,σημειώσεις,"записи, заметки",,,,,,,,
235,755,οι σπουδές,σπουδές,"учёба, образование",,,,,,,,
338,756,τα ψώνια,ψώνια,"покупки, шопинг",,,,,,,,
352,757,απασχολημένος,απασχολημένος,занятый,,,,,,,,
366,758,βρώμικος,βρώμικος,грязный,,,,,,,,
384,759,διψασμένος,διψασμένος,жаждущий,,,,,,,,
398,760,ερωτευμένος,ερωτευμένος,влюблённый,,,,,,,,
